description,label
Groceries for the week,0
Rent payment,0
Electricity bill,0
Water utility,0
Doctor visit,0
Medication purchase,0
Bus fare to work,0
Gas for car commute,0
Internet bill for home office,0
Phone bill,0
Hospital emergency,0
Insurance premium,0
Fuel refill,0
Essential clothing repair,0
Basic hygiene products,0
School supplies for kids,0
Home repair materials,0
Public transport pass,0
Basic food staples,0
Utility payment overdue,0
Coffee at Starbucks,1
Movie tickets,1
Restaurant dinner,1
New video game,1
Gym membership renewal,1
Netflix subscription,1
Spotify premium,1
Vacation booking,1
Designer clothes shopping,1
Concert tickets,1
Hobby supplies like paints,1
Electronics gadget,1
Luxury watch,1
Spa treatment,1
Bar drinks with friends,1
Fast food delivery,1
Gaming console accessory,1
Fashion accessories,1
Weekend getaway,1
High-end headphones,1
Cinema popcorn,1
Online shopping spree,1
Subscription box service,1
Golf club membership,1
Expensive perfume,1
Mortgage payment,0
Car insurance payment,0
Student loan payment,0
Property tax,0
Childcare costs,0
Prescription eyeglasses,0
Dental check-up,0
Essential car maintenance,0
Tire replacement,0
Brake repair,0
Baby formula,0
Diapers,0
Toilet paper,0
Soap and shampoo,0
Work uniform,0
Required textbooks for class,0
Renter's insurance,0
Minimum credit card payment,0
Garbage collection fee,0
Natural gas bill,0
Co-pay for medical visit,0
Pet food,0
Emergency vet visit,0
Required professional license fee,0
Replacing a broken appliance,0
School lunch money,0
Basic phone plan,0
Bank account maintenance fee,0
Pest control service,0
Plumbing repair,0
Roof leak fix,0
Manicure and pedicure,1
Cable TV package,1
Sporting event tickets,1
Food delivery service fee,1
Ordering dessert at a restaurant,1
Latest smartphone model,1
Smartwatch purchase,1
Designer handbag,1
Brand-name sneakers,1
Amusement park tickets,1
Upgraded plane ticket,1
Hotel room service,1
Souvenir shopping,1
Art class subscription,1
New set of golf clubs,1
Gourmet coffee beans,1
Meal kit delivery subscription,1
Interior decorations for home,1
Scented candles,1
Magazine subscription,1
Buying a round of drinks,1
Party decorations,1
Car wash and detailing,1
Lottery tickets,1
In-app purchases for a game,1
Collectible items,1
